	mlog10Padj	mlog10p	Enrichment	BackgroundProporition	nBackground	BackgroundFrequency	CompareProportion	nCompare	CompareFrequency	feature
ASCL1_843	28.2518574905607	29.2061	1.18208616666685	0.113661988615009	218182	24799	0.134358264417647	27449	3688	ASCL1_843
TFCP2L1_858	27.8482574905607	28.8025	1.2251899236398	0.0771924356729703	218182	16842	0.0945753943677365	27449	2596	TFCP2L1_858
ZNF423_176	27.8457574905607	28.8	1.28842793552794	0.0492845422628814	218182	10753	0.0634995810412037	27449	1743	ZNF423_176
ZBTB4_249	27.0564574905607	28.0107	1.31986997735166	0.0396366336361386	218182	8648	0.0523152027396262	27449	1436	ZBTB4_249
ATF6_116	25.7003574905607	26.6546	1.31978379151633	0.0377345518878734	218182	8233	0.0498014499617472	27449	1367	ATF6_116
ETS2_340	25.0985574905607	26.0528	1.16638860032001	0.119533233722305	218182	26080	0.139422201173085	27449	3827	ETS2_340
RFX3_723	23.7405574905607	24.6948	1.27564768078227	0.0459799616833653	218182	10032	0.0586542314838428	27449	1610	RFX3_723
GLI2_167	22.3836574905607	23.3379	1.22782304637475	0.0616274486437928	218182	13446	0.0756676017341251	27449	2077	GLI2_167
TWIST1_42	21.5218574905607	22.4761	1.16463724040262	0.106168244859796	218182	23164	0.123647491711902	27449	3394	TWIST1_42
HIVEP2_160	21.2237574905607	22.178	1.23828336323198	0.0539870383441347	218182	11779	0.066851251411709	27449	1835	HIVEP2_160
RELA_722	20.7231574905607	21.6774	1.19288254394811	0.0774811854323455	218182	16905	0.0924259535866516	27449	2537	RELA_722
MLL_300	20.3555574905607	21.3098	1.46660967018029	0.0148545709545242	218182	3241	0.0217858574082845	27449	598	MLL_300
RELB_718	20.3409574905607	21.2952	1.20072454550853	0.070876607602827	218182	15464	0.0851032824510911	27449	2336	RELB_718
NHLH2_80	20.2536574905607	21.2079	1.15353350841212	0.113538238718134	218182	24772	0.130970162847463	27449	3595	NHLH2_80
TEAD4_797	20.0359574905607	20.9902	1.20601064503325	0.0666691111090741	218182	14546	0.0804036576924478	27449	2207	TEAD4_797
ZIC3_215	19.6854574905607	20.6397	1.21960164464195	0.0583687013594155	218182	12735	0.0711865641735582	27449	1954	ZIC3_215
AHRR_17	19.6693574905607	20.6236	1.26831223319317	0.0403287163927363	218182	8799	0.0511494043498852	27449	1404	AHRR_17
AHR_28	19.6693574905607	20.6236	1.26831223319317	0.0403287163927363	218182	8799	0.0511494043498852	27449	1404	AHR_28
HEY1_68	19.6211574905607	20.5754	1.32370208378518	0.0283753930205058	218182	6191	0.037560566869467	27449	1031	HEY1_68
RFX2_724	19.5611574905607	20.5154	1.1806121197246	0.0826374311354741	218182	18030	0.0975627527414478	27449	2678	RFX2_724
GLI1_186	18.6180574905607	19.5723	1.17885136170072	0.0803503497080419	218182	17531	0.0947211191664541	27449	2600	GLI1_186
ZIC1_213	17.9084574905607	18.8627	1.25011250460583	0.0419649650291958	218182	9156	0.0524609275383438	27449	1440	ZIC1_213
MXI1_40	17.5652574905607	18.5195	1.24275832096771	0.0435324637229469	218182	9498	0.0541003315239171	27449	1485	MXI1_40
