baitID	preyID	N
608973	608945	11
608973	608897	11
608973	608915	11
754400	754463	11
754400	754507	11
754400	754491	11
754400	754358	11
754400	754378	11
777249	777251	11
777249	777252	11
52174	52070	10
67868	67956	10
67868	67887	10
67868	67836	10
67868	67923	10
67868	67950	10
67868	67888	10
67868	67947	10
67868	67857	10
96744	96637	10
96744	96621	10
96744	96688	10
96744	96656	10
96744	96699	10
96744	96645	10
96744	96644	10
96744	96687	10
96744	96662	10
96744	96668	10
96744	96883	10
116442	116475	10
116442	116501	10
158037	158039	10
234583	234729	10
234583	234669	10
234583	234560	10
234583	234686	10
234583	234540	10
234583	234855	10
234583	234719	10
252022	251968	10
252022	252044	10
252022	251966	10
252022	251961	10
280227	280197	10
436209	436390	10
436209	436195	10
465996	466038	10
465996	466021	10
465996	466034	10
577412	577409	10
608973	608966	10
608973	608956	10
608973	608927	10
613959	613966	10
667136	667123	10
667136	667127	10
667136	667130	10
754400	754490	10
754400	754387	10
754400	754453	10
754400	754386	10
754400	754416	10
754400	754492	10
754400	754465	10
754400	754424	10
52174	52188	9
52174	52071	9
52174	52164	9
52174	52057	9
67868	67932	9
67868	67897	9
67868	67896	9
67868	67895	9
67868	67905	9
67868	67865	9
67868	67893	9
67868	67823	9
96744	96614	9
96744	96682	9
96744	96671	9
96744	96710	9
96744	96657	9
96744	96831	9
96744	96635	9
96744	96691	9
96744	96623	9
96744	96790	9
116442	116419	9
122846	122858	9
122846	122851	9
234583	234552	9
234583	234697	9
234583	234657	9
234583	234551	9
234583	234693	9
234583	234846	9
234583	234534	9
234583	234668	9
234583	234774	9
252022	251995	9
252022	251967	9
252022	252009	9
252022	252002	9
252022	252038	9
255348	255364	9
465996	466030	9
465996	466036	9
465996	465965	9
465996	466023	9
465996	466033	9
465996	466029	9
465996	466028	9
465996	466013	9
465996	466025	9
465996	466041	9
577412	577510	9
608973	608923	9
608973	608951	9
608973	608863	9
608973	608862	9
608973	608963	9
608973	608991	9
608973	608919	9
608973	608929	9
608973	608911	9
608973	609000	9
608973	609002	9
608973	608964	9
608973	608953	9
608973	608954	9
608973	609301	9
613959	613962	9
613959	613967	9
667136	667139	9
754400	754422	9
754400	754436	9
754400	754367	9
754400	754377	9
754400	754483	9
754400	754356	9
754400	754379	9
754400	754506	9
754400	754418	9
754400	754368	9
777249	777250	9
777254	777267	9
52174	52045	8
52174	52161	8
52174	52187	8
52174	52192	8
67868	67913	8
67868	67847	8
67868	67852	8
67868	67936	8
67868	67926	8
67868	67845	8
67868	67851	8
67868	67831	8
67868	68033	8
96744	96924	8
96744	96686	8
96744	96923	8
96744	96844	8
96744	96825	8
96744	96679	8
96744	96675	8
96744	96868	8
96744	96630	8
96744	96876	8
96744	96676	8
96744	96642	8
96744	96752	8
96744	96820	8
116442	116335	8
116442	116542	8
116442	116431	8
116442	116366	8
116442	116350	8
116442	116468	8
116442	116512	8
122846	122833	8
122846	122860	8
122846	122941	8
234583	234674	8
234583	234690	8
234583	234544	8
234583	234698	8
234583	234548	8
234583	234724	8
234583	234722	8
234583	234613	8
234583	234677	8
234583	234694	8
234583	234681	8
234583	234683	8
